path,sizeBytes,ext,inServerRuntime,inElectronRuntime,category,lines,textReadable,runtimeSha256
.github/copilot-instructions.md,4914,.md,false,false,non-runtime,,false,
.github/instructions/response-discipline.instructions.md,3305,.md,false,false,non-runtime,,false,
.github/workflows/build.yml,9040,.yml,false,false,non-runtime,,false,
.gitignore,455,,false,false,non-runtime,,false,
.playwright-mcp/after-skip.png,65771,.png,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-09T17-22-55-286Z.log,76971,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-09T17-54-46-524Z.log,164354,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-09T18-22-02-741Z.log,60998,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-09T18-24-42-698Z.log,65669,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-09T18-36-25-521Z.log,216236,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-11T14-14-54-073Z.log,256,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-11T14-15-59-968Z.log,120991,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-11T16-42-54-153Z.log,128401,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-12T01-32-51-233Z.log,59085,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-12T01-47-46-449Z.log,60466,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-12T02-49-58-028Z.log,60599,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-12T03-29-14-261Z.log,1277286,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-12T11-18-26-575Z.log,2373284,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-12T13-47-47-224Z.log,256,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-12T13-49-20-585Z.log,578,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-12T13-49-55-749Z.log,1148455,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-12T14-15-34-981Z.log,995131,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-12T17-01-45-616Z.log,145,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-12T17-01-51-753Z.log,1200998,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-12T17-22-34-088Z.log,338756,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-12T18-35-29-173Z.log,712698,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-12T19-59-43-246Z.log,286433,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-12T20-03-59-438Z.log,22530,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-12T21-52-13-802Z.log,313894,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-12T22-04-27-617Z.log,2119830,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-12T22-14-37-768Z.log,5083620,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-13T00-23-03-125Z.log,212300,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-13T00-58-32-097Z.log,1035988,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-13T01-10-27-526Z.log,1222795,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-13T12-08-14-598Z.log,2779,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-13T13-30-30-334Z.log,61796,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-13T17-18-25-760Z.log,58763,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-13T21-10-03-003Z.log,544,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-13T21-57-34-945Z.log,901,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-13T22-25-32-215Z.log,365,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-13T23-50-35-605Z.log,2850,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-14T00-21-19-930Z.log,256,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-14T00-23-03-093Z.log,434,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-14T00-24-24-112Z.log,591,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-17T00-22-51-842Z.log,528,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-17T00-33-17-902Z.log,143,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-17T00-33-22-154Z.log,203,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-17T00-33-34-974Z.log,149,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-17T00-37-40-215Z.log,2791,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-17T12-00-03-608Z.log,55845,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-17T12-19-10-236Z.log,3773,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-17T12-26-10-750Z.log,1500,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-17T12-32-09-560Z.log,179067,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-17T12-53-36-783Z.log,618,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-17T12-55-44-598Z.log,182,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-17T13-00-53-426Z.log,182,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-17T13-11-14-894Z.log,190672,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-17T13-40-29-042Z.log,182,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-17T13-55-45-288Z.log,932,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-17T14-26-10-127Z.log,190440,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-17T15-26-30-564Z.log,223280,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-17T15-56-38-209Z.log,182,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-17T16-26-56-477Z.log,194779,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-17T17-26-11-728Z.log,198410,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-17T17-54-45-904Z.log,182,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-17T18-25-00-893Z.log,200080,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-17T19-10-05-469Z.log,192353,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-17T22-21-03-608Z.log,5186,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-17T22-21-42-183Z.log,2824,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-17T22-21-51-397Z.log,182,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-17T22-25-08-646Z.log,2805,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-17T23-04-27-662Z.log,8939,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-18T01-59-56-956Z.log,13648,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-18T02-01-28-649Z.log,750,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-18T02-27-02-154Z.log,750,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-18T02-29-44-885Z.log,1864,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-18T02-44-17-028Z.log,1874,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-18T02-59-07-333Z.log,2052,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-18T03-03-29-425Z.log,1500,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-18T03-14-27-347Z.log,2268,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-18T03-20-24-695Z.log,768,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-18T03-21-10-844Z.log,9750,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-18T03-24-05-859Z.log,3750,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-18T03-25-35-375Z.log,962,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-18T03-26-42-953Z.log,97065,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-18T03-37-56-571Z.log,182,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-18T03-38-41-415Z.log,6276,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-18T11-02-49-022Z.log,2945,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-18T11-29-35-583Z.log,58657,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-18T13-09-27-849Z.log,792,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-18T13-09-35-654Z.log,18377,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-18T13-10-32-905Z.log,23120,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-18T13-11-11-670Z.log,56006,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-18T13-15-44-036Z.log,13865,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-18T13-16-46-669Z.log,6527,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-18T16-58-41-291Z.log,256,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-18T16-59-18-464Z.log,2096,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-18T17-29-12-476Z.log,256,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-18T17-32-03-696Z.log,256,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-18T17-35-05-751Z.log,780,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-18T17-36-52-984Z.log,116491,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-18T19-10-10-858Z.log,60796,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-20T23-07-45-548Z.log,431,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-20T23-09-46-430Z.log,871,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-21T02-28-28-743Z.log,407,.log,false,false,non-runtime,,false,
.playwright-mcp/console-2026-04-21T02-30-13-587Z.log,5685,.log,false,false,non-runtime,,false,
